,date,coronavirus,short breath,covid-19,state,positive,positiveIncrease,negative,negativeIncrease
1049,2020-08-16,5,44,28,PA,124460.0,660,1332403.0,12519
1050,2020-08-23,4,21,21,PA,129048.0,619,1423972.0,11848
1051,2020-08-30,4,0,22,PA,133504.0,670,1515899.0,11791
1052,2020-09-06,4,49,23,PA,139316.0,691,1599299.0,10218
1053,2020-09-13,4,26,19,PA,143881.0,76,1664000.0,0
1054,2020-09-20,4,10,18,PA,150578.0,733,1758332.0,12052
1055,2020-09-27,4,27,20,PA,156150.0,918,1845070.0,14778
1056,2020-10-04,4,45,19,PA,163535.0,2251,1931635.0,26664
1057,2020-10-11,4,12,18,PA,172216.0,1166,2033645.0,14205
1058,2020-10-18,4,19,19,PA,182212.0,1269,2132651.0,12801
1059,2020-10-25,4,24,19,PA,194288.0,1666,2229977.0,14920
1060,2020-11-01,3,15,16,PA,209936.0,1909,2327810.0,13176
1061,2020-11-08,5,23,24,PA,230894.0,2909,2441635.0,15514
1062,2020-02-02,9,51,0,MA,,0,,0
1063,2020-02-09,6,52,1,MA,,0,,0
1064,2020-02-16,4,0,2,MA,,0,,0
1065,2020-02-23,19,75,5,MA,,0,,0
1066,2020-03-01,36,25,17,MA,,0,,0
1067,2020-03-08,89,49,60,MA,,0,,0
1068,2020-03-15,100,49,100,MA,64.0,26,584.0,584
1069,2020-03-22,76,79,98,MA,547.0,121,5476.0,677
1070,2020-03-29,60,68,95,MA,4856.0,698,34234.0,3319
1071,2020-04-05,61,46,80,MA,12402.0,765,59565.0,2374
1072,2020-04-12,49,34,68,MA,25381.0,2615,91463.0,5348
1073,2020-04-19,43,30,60,MA,39820.0,2293,129295.0,4691
1074,2020-04-26,25,45,48,MA,54938.0,1590,181162.0,7665
1075,2020-05-03,23,45,47,MA,68087.0,1824,246559.0,13828
1076,2020-05-10,21,39,43,MA,77793.0,1050,310596.0,10802
1077,2020-05-17,18,59,39,MA,86010.0,1077,374816.0,11660
1078,2020-05-24,14,48,32,MA,92675.0,1013,439698.0,10374
